link,title,location,comapany name,description
/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|navbg,Data Science Instructor,"Nasr City, Cairo, Egypt",EpsilonAI -,Full TimePart TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI)
/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"New Cairo, Cairo, Egypt",Gila Electric -,Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Computer Science · Commerce · analytical · Communication skills · Analyst
/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=3&l=sp&t=sj&a=data science|search-v3|navbg,Data Scientist,"Riyadh, Saudi Arabia",Confidential -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Hadoop · Information Technology (IT) · Machine Learning · Naive Bayes · Programming
/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Scientist,"Sheraton, Cairo, Egypt",Fixed Solutions -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · APIs · Computer Science · Engineering · Information Technology (IT) · Java · Programming · Software
/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|navbg,Data Engineer,"Maadi, Cairo, Egypt",Cilantro -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Data Analysis · Data Analytics · Data Engineering · Data · Database · Information Technology (IT)
/jobs/p/bImU6Lr0L1ch-Data-Engineers-Senior-Multinational-Company-Hala-Consulting-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|navbg,Data Engineers / Senior (Multinational Company),"New Cairo, Cairo, Egypt",Hala Consulting  -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · back-end · Computer Science · Data · Software Development · Software Engineering · Architecture · AWS
/internship/WI6D8retv6ak-Data-Profiler---3-Months-Internship-Webhelp-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|navbg,Data Profiler - 3 Months Internship,"New Cairo, Cairo, Egypt",Webhelp -,InternshipEntry Level · 0 - 1 Yrs of Exp · Administration · Business Development · IT/Software Development · Computer Science · Data Entry · Customer Support · Microsoft Office · Customer Service · Customer Care
/jobs/p/jX5wf4UC6hGY-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Scientist,"Nasr City, Cairo, Egypt",BBI-Consultancy -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Science · data scientist · Information Technology (IT) · Python · Statistics
/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst - Quality Assurance Department,"Heliopolis, Cairo, Egypt",IdealRatings -,Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Finance · Quality Assurance · Economic Statistics · Skills · Detail Oriented · QA · English
/jobs/p/GCjdeXgdcmQf-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|navbg,Data Center Engineer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Computer Engineering · Information Technology (IT)
/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=11&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Engineer- Banha,"Qalubia, Egypt",Z2 Data -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Other · Data · Communication · MS Office · Analysis · Engineering · Computer Science · Data Administration
/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=12&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Analyst,"Nasr City, Cairo, Egypt",Z2 Data -,Full TimeExperienced · 2 - 4 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Administration · Computer Science · Data Analyst · Database · Data · Analyst · Information Technology (IT)
/jobs/p/5JCxxhUwHrzn-Data-Analyst---Banha-Z2-Data-Qalubia-Egypt?o=13&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst - Banha,"Banha, Qalubia, Egypt",Z2 Data -,Full TimeEntry Level · 0 - 3 Yrs of Exp · Business Development · Analyst/Research · Analysis · Commerce · Computer Science · Data Analysis · English · MS Office · Information Technology (IT)
/jobs/p/fD8sx3t6uEzs-Data-Center-Network-Engineer-Giza-Egypt?o=14&l=sp&t=sj&a=data science|search-v3|navbg,Data Center Network Engineer,"6th of October, Giza, Egypt",Confidential -,Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software · Software Development · Software Engineering · Operations · TCP
/jobs/p/HdxnQ56kyO8v-Data-Engineer---KSA-Riyadh-Saudi-Arabia?o=15&l=sp&t=sj&a=data science|search-v3|navbg,Data Engineer - KSA,"Riyadh, Saudi Arabia",Confidential -,Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Engineering · SQL Server · Information Technology (IT) · Computer Engineering · Programming · Security
/jobs/p/vRmBDfFqeBXN-Junior-Data-Analyst-Z2-Data-Cairo-Egypt?o=16&l=sp&t=sj&a=data science|search-v3|navbg,Junior Data Analyst,"Nasr City, Cairo, Egypt",Z2 Data -,Full TimeEntry Level · 0 - 1 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Commerce · Computer Science · Information Technology (IT) · English · MS Office
/jobs/p/30Jv0l3dYGB9-Enterprise-Sr-Specialist-Data-Analyst-B-TECH-Cairo-Egypt?o=17&l=sp&t=sj&a=data science|search-v3|navbg,Enterprise Sr. Specialist (Data Analyst),"Nasr City, Cairo, Egypt",B.TECH -,Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering · Software Engineering · Computer Science · Information Technology (IT) · Enterprise Softwar · Enterprise Architect · ArchiMate · UML
/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=18&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst| MIS,"Maadi, Cairo, Egypt",GlobeMed Egypt -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · MIS · Data Analytics · SAS · SQL · Tableau · Analysis · Database · Information Technology (IT)
/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=19&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"New Cairo, Cairo, Egypt",Arma Foods  -,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Reporting · Power BI · IT · analytical · Data
/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=20&l=sp&t=sj&a=data science|search-v3|navbg,Data Scientist,"Sheikh Zayed, Giza, Egypt",Seoudi Supermarket -,Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Programming · Machine Learning · Python · Data Analytics · Computer Science · Information Technology (IT)
/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=21&l=sp&t=sj&a=data science|search-v3|navbg,Data Analysis Instructor (Excel - Power BI),"Nasr City, Cairo, Egypt",EpsilonAI -,Full TimePart TimeFreelance / ProjectEntry Level · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL
/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=22&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Insights Specialist,"Cairo, Egypt",WUZZUF -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Intelligence · Communication · Communication skills · Computer Science · Data Analysis · SQL
/jobs/p/1vD8UNEXx8ia-Data-Analyst-Spark-Systems-Giza-Egypt?o=23&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"Sheikh Zayed, Giza, Egypt",Spark Systems -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · BI · Computer Science · Power BI · Software · Reporting
/jobs/p/ySBdyrYqiyty-Senior-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=24&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Center Engineer,"New Cairo, Cairo, Egypt",Smart System -,Full TimeExperienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNP · Computer Science · computer · Data center · Information Technology (IT) · Network · Systems Engineering
/jobs/p/eDPM1YPgMI8J-Senior-Data-Engineer-Worex-Cairo-Egypt?o=25&l=sp&t=sj&a=data science|search-v3|navbg,Senior Data Engineer,"Maadi, Cairo, Egypt",Worex -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Machine Learning · Computer Science · Big Data
/jobs/p/BWanTjToqCIh-Senior-BI-Developer---Data-Engineer-Centro-CDX-Cairo-Egypt?o=26&l=sp&t=sj&a=data science|search-v3|navbg,Senior BI Developer - Data Engineer,"Maadi, Cairo, Egypt",Centro CDX -,Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Power BI · SQL · Information Technology (IT) · Software Development · Software Engineering · Computer Science · Computer Engineering · TSQL
/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=27&l=sp&t=sj&a=data science|search-v3|navbg,Data Analyst,"Nozha, Cairo, Egypt",GPS -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Data Analysis · Reporting · Computer Science · English · MS Office · Information Technology (IT)
/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=28&l=sp&t=sj&a=data science|search-v3|navbg,Senior Digital Data Analyst (Remote Job),"New Cairo, Cairo, Egypt",Mindfield -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Social Media · Digital Marketing · Data Analysis · Planning · Marketing · Google Analytics · Computer Science · Business Administration
/jobs/p/MTxZMRn6iUSV-SAP-Data-Entry-Team-Leader-Cairo-Egypt?o=29&l=sp&t=sj&a=data science|search-v3|navbg,SAP Data Entry Team Leader,"10th of Ramadan City, Cairo, Egypt",Confidential -,Full TimeManager · 3+ Yrs of Exp · males_only · Administration · SAP · MS Office · Data Entry · Microsoft Excel · Data · English · Typing · Skills · Administration
